Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview
Avengers: Endgame,2019,"Action, Adventure, Drama",181 min,8.4,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Lion,2016,"Biography, Drama",118 min,8.0,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
Snatch,2000,"Comedy, Crime",104 min,8.3,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
Rebecca,1940,"Drama, Mystery, Romance",130 min,8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
The Godfather: Part III,1990,"Crime, Drama",162 min,7.6,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire."
Les quatre cents coups,1959,"Crime, Drama",99 min,8.1,"A young boy, left without attention, delves into a life of petty crime."
Life of Brian,1979,Comedy,94 min,8.1,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
Huo Yuan Jia,2006,"Action, Biography, Drama",104 min,7.6,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation."
Kokuhaku,2010,"Drama, Thriller",106 min,7.8,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.
Cat on a Hot Tin Roof,1958,Drama,108 min,8.0,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.
Zelig,1983,Comedy,79 min,7.7,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
Raazi,2018,"Action, Drama, Thriller",138 min,7.8,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.
Once Upon a Time... in Hollywood,2019,"Comedy, Drama",161 min,7.6,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
Chung Hing sam lam,1994,"Comedy, Crime, Drama",102 min,8.1,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents."
Kubo and the Two Strings,2016,"Animation, Action, Adventure",101 min,7.8,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.
Sen to Chihiro no kamikakushi,2001,"Animation, Adventure, Family",125 min,8.6,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
Seppuku,1962,"Action, Drama, Mystery",133 min,8.6,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
Once,2007,"Drama, Music, Romance",86 min,7.8,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story."
The Lord of the Rings: The Fellowship of the Ring,2001,"Action, Adventure, Drama",178 min,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Zindagi Na Milegi Dobara,2011,"Comedy, Drama",155 min,8.1,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
Malcolm X,1992,"Biography, Drama, History",202 min,7.7,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam."
Ivanovo detstvo,1962,"Drama, War",95 min,8.1,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers."
Ayla: The Daughter of War,2017,"Biography, Drama, History",125 min,8.4,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »"
Patton,1970,"Biography, Drama, War",172 min,7.9,The World War II phase of the career of controversial American general George S. Patton.
The Grand Budapest Hotel,2014,"Adventure, Comedy, Crime",99 min,8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
Captain Phillips,2013,"Adventure, Biography, Crime",134 min,7.8,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
The Man Who Would Be King,1975,"Adventure, History, War",129 min,7.8,"Two British former soldiers decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great."
Naked,1993,"Comedy, Drama",132 min,7.8,"Parallel tales of two sexually obsessed men, one hurting and annoying women physically and mentally, one wandering around the city talking to strangers and experiencing dimensions of life."
