Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview
Kramer vs. Kramer,1979,Drama,105 min,7.8,"Ted Kramer's wife leaves him, allowing for a lost bond to be rediscovered between Ted and his son, Billy. But a heated custody battle ensues over the divorced couple's son, deepening the wounds left by the separation."
Gone with the Wind,1939,"Drama, History, Romance",238 min,8.1,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
The Red Shoes,1948,"Drama, Music, Romance",135 min,8.1,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.
Blood Diamond,2006,"Adventure, Drama, Thriller",143 min,8.0,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
X-Men: Days of Future Past,2014,"Action, Adventure, Sci-Fi",132 min,7.9,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
Das Boot,1981,"Adventure, Drama, Thriller",149 min,8.3,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror."
The Long Goodbye,1973,"Comedy, Crime, Drama",112 min,7.6,"Private investigator Philip Marlowe helps a friend out of a jam, but in doing so gets implicated in his wife's murder."
Moon,2009,"Drama, Mystery, Sci-Fi",97 min,7.9,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
Bin-jip,2004,"Crime, Drama, Romance",88 min,8.0,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
Trainspotting,1996,Drama,93 min,8.1,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
Before Sunrise,1995,"Drama, Romance",101 min,8.1,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
Training Day,2001,"Crime, Drama, Thriller",122 min,7.7,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.
Predator,1987,"Action, Adventure, Sci-Fi",107 min,7.8,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
In Bruges,2008,"Comedy, Crime, Drama",107 min,7.9,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
Misery,1990,"Drama, Thriller",107 min,7.8,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
Big Fish,2003,"Adventure, Drama, Fantasy",125 min,8.0,A frustrated son tries to determine the fact from fiction in his dying father's life.
Crimes and Misdemeanors,1989,"Comedy, Drama",104 min,7.9,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.
Le locataire,1976,"Drama, Thriller",126 min,7.7,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.
Queen,2013,"Adventure, Comedy, Drama",146 min,8.2,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.
Black Swan,2010,"Drama, Thriller",108 min,8.0,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake""."
Le scaphandre et le papillon,2007,"Biography, Drama",112 min,8.0,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.
The Butterfly Effect,2004,"Drama, Sci-Fi, Thriller",113 min,7.6,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
X: First Class,2011,"Action, Adventure, Sci-Fi",131 min,7.7,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them."
The Others,2001,"Horror, Mystery, Thriller",101 min,7.6,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.
Spoorloos,1988,"Mystery, Thriller",107 min,7.7,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor."
Breaking the Waves,1996,Drama,159 min,7.8,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another."
Ah-ga-ssi,2016,"Drama, Romance, Thriller",145 min,8.1,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
Inside Out,2015,"Animation, Adventure, Comedy",95 min,8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
Au revoir les enfants,1987,"Drama, War",104 min,8.0,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret."
Kaguyahime no monogatari,2013,"Animation, Adventure, Drama",137 min,8.0,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime."
OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",125 min,8.1,A shopkeeper takes God to court when his shop is destroyed by an earthquake.
Druk,2020,"Comedy, Drama",117 min,7.8,"Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood."
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Comedy,95 min,8.4,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.
