Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview
The Perks of Being a Wallflower,2012,"Drama, Romance",103 min,8.0,An introvert freshman is taken under the wings of two seniors who welcome him to the real world
A Hard Day's Night,1964,"Comedy, Music, Musical",87 min,7.6,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance."
The Artist,2011,"Comedy, Drama, Romance",100 min,7.9,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
Hidden Figures,2016,"Biography, Drama, History",127 min,7.8,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
Joker,2019,"Crime, Drama, Thriller",122 min,8.5,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
Shichinin no samurai,1954,"Action, Adventure, Drama",207 min,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.
Into the Wild,2007,"Adventure, Biography, Drama",148 min,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
Die Hard: With a Vengeance,1995,"Action, Adventure, Thriller",128 min,7.6,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building."
To Be or Not to Be,1942,"Comedy, War",99 min,8.2,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
Wonder,2017,"Drama, Family",113 min,8.0,"Based on the New York Times bestseller, this movie tells the incredibly inspiring and heartwarming story of August Pullman, a boy with facial differences who enters the fifth grade, attending a mainstream elementary school for the first time."
The Godfather: Part II,1974,"Crime, Drama",202 min,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
Relatos salvajes,2014,"Comedy, Drama, Thriller",122 min,8.1,Six short stories that explore the extremities of human behavior involving people in distress.
Almost Famous,2000,"Adventure, Comedy, Drama",122 min,7.9,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.
"South Park: Bigger, Longer & Uncut",1999,"Animation, Comedy, Fantasy",81 min,7.7,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
Le salaire de la peur,1953,"Adventure, Drama, Thriller",131 min,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",131 min,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap."
Doctor Zhivago,1965,"Drama, Romance, War",197 min,8.0,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
Tengoku to jigoku,1963,"Crime, Drama, Mystery",143 min,8.4,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.
1917,2019,"Drama, Thriller, War",119 min,8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
Solaris,1972,"Drama, Mystery, Sci-Fi",167 min,8.1,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.
Sunset Blvd.,1950,"Drama, Film-Noir",110 min,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
Kelly's Heroes,1970,"Adventure, Comedy, War",144 min,7.6,A group of U.S. soldiers sneaks across enemy lines to get their hands on a secret stash of Nazi treasure.
Adaptation.,2002,"Comedy, Drama",115 min,7.7,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.
Creed,2015,"Drama, Sport",133 min,7.6,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
Scent of a Woman,1992,Drama,156 min,8.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated."
Togo,2019,"Adventure, Biography, Drama",113 min,8.0,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race."
Once Were Warriors,1994,"Crime, Drama",102 min,7.9,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
The Visitor,2007,Drama,104 min,7.6,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.
Gone Baby Gone,2007,"Crime, Drama, Mystery",114 min,7.6,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",201 min,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
The Fault in Our Stars,2014,"Drama, Romance",126 min,7.7,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.
Manbiki kazoku,2018,"Crime, Drama",121 min,7.9,A family of small-time crooks take in a child they find outside in the cold.
Requiem for a Dream,2000,Drama,102 min,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
Dead Poets Society,1989,"Comedy, Drama",128 min,8.1,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
The Avengers,2012,"Action, Adventure, Sci-Fi",143 min,8.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
Rebel Without a Cause,1955,Drama,111 min,7.7,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies."
Interstate 60: Episodes of the Road,2002,"Adventure, Comedy, Drama",116 min,7.7,"Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl."
Dogville,2003,"Crime, Drama",178 min,8.0,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price."
Pride & Prejudice,2005,"Drama, Romance",129 min,7.8,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
Vizontele,2001,"Comedy, Drama",110 min,8.0,Lives of residents in a small Anatolian village change when television is introduced to them
Jab We Met,2007,"Comedy, Drama, Romance",138 min,7.9,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
North by Northwest,1959,"Adventure, Mystery, Thriller",136 min,8.3,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.
Serbuan maut,2011,"Action, Thriller",101 min,7.6,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.
The Truman Show,1998,"Comedy, Drama",103 min,8.1,An insurance salesman discovers his whole life is actually a reality TV show.
Carlito's Way,1993,"Crime, Drama, Thriller",144 min,7.9,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
Fight Club,1999,Drama,139 min,8.8,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
Pink,2016,"Drama, Thriller",136 min,8.1,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names."
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",158 min,7.8,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker."
Rear Window,1954,"Mystery, Thriller",112 min,8.4,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.
Coraline,2009,"Animation, Drama, Family",100 min,7.7,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
Pride,2014,"Biography, Comedy, Drama",119 min,7.8,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.
"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",107 min,7.7,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
Salinui chueok,2003,"Crime, Drama, Mystery",131 min,8.1,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
Andrei Rublev,1966,"Biography, Drama, History",205 min,8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
Ôkami kodomo no Ame to Yuki,2012,"Animation, Drama, Fantasy",117 min,8.1,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society."
Duck Soup,1933,"Comedy, Musical, War",69 min,7.8,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.
Dallas Buyers Club,2013,"Biography, Drama",117 min,8.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
Kind Hearts and Coronets,1949,"Comedy, Crime",106 min,8.0,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.
Okuribito,2008,"Drama, Music",130 min,8.1,A newly unemployed cellist takes a job preparing the dead for funerals.
Enemy at the Gates,2001,"Drama, History, War",131 min,7.6,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.
Y tu mamá también,2001,Drama,106 min,7.6,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other."
Vampire Hunter D: Bloodlust,2000,"Animation, Action, Fantasy",103 min,7.7,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back."
Les choristes,2004,"Drama, Music",97 min,7.9,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.
Dil Bechara,2020,"Comedy, Drama, Romance",101 min,7.9,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group."
The Bourne Ultimatum,2007,"Action, Mystery, Thriller",115 min,8.0,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.
"I, Daniel Blake",2016,Drama,100 min,7.9,"After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance."
Jeux d'enfants,2003,"Comedy, Drama, Romance",93 min,7.6,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another."
Who's Afraid of Virginia Woolf?,1966,Drama,131 min,8.0,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night."
Schindler's List,1993,"Biography, Drama, History",195 min,8.9,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
Batman Begins,2005,"Action, Adventure",140 min,8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption."
Harold and Maude,1971,"Comedy, Drama, Romance",91 min,7.9,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
Sweet Smell of Success,1957,"Drama, Film-Noir",96 min,8.0,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.
Edge of Tomorrow,2014,"Action, Adventure, Sci-Fi",113 min,7.9,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
Fiddler on the Roof,1971,"Drama, Family, Musical",181 min,8.0,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village."
The Machinist,2004,"Drama, Thriller",101 min,7.7,An industrial worker who hasn't slept in a year begins to doubt his own sanity.
Blow,2001,"Biography, Crime, Drama",124 min,7.6,"The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States."
Gully Boy,2019,"Drama, Music, Romance",154 min,8.0,A coming-of-age story based on the lives of street rappers in Mumbai.
Paddington 2,2017,"Adventure, Comedy, Family",103 min,7.8,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen."
Mysterious Skin,2004,Drama,105 min,7.6,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth."
Freaks,1932,"Drama, Horror",64 min,7.9,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
English Vinglish,2012,"Comedy, Drama, Family",134 min,7.8,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English."
This Is Spinal Tap,1984,"Comedy, Music",82 min,7.9,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour."
Under sandet,2015,"Drama, History, War",100 min,7.8,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight."
The Innocents,1961,Horror,100 min,7.8,A young governess for two children becomes convinced that the house and grounds are haunted.
In a Lonely Place,1950,"Drama, Film-Noir, Mystery",94 min,8.0,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
Laura,1944,"Drama, Film-Noir, Mystery",88 min,8.0,A police detective falls in love with the woman whose murder he is investigating.
Hachi: A Dog's Tale,2009,"Biography, Drama, Family",93 min,8.1,A college professor bonds with an abandoned dog he takes into his home.
My Name Is Khan,2010,Drama,165 min,8.0,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
Omoide no Mânî,2014,"Animation, Drama, Family",103 min,7.7,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie."
Hacksaw Ridge,2016,"Biography, Drama, History",139 min,8.1,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot."
Witness for the Prosecution,1957,"Crime, Drama, Mystery",116 min,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
Chak De! India,2007,"Drama, Family, Sport",153 min,8.2,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.
Le notti di Cabiria,1957,Drama,110 min,8.1,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.
The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance",166 min,7.8,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
The Bourne Supremacy,2004,"Action, Mystery, Thriller",108 min,7.7,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive."
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",142 min,7.9,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard."
Bohemian Rhapsody,2018,"Biography, Drama, Music",134 min,8.0,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985)."
Un prophète,2009,"Crime, Drama",155 min,7.9,A young Arab man is sent to a French prison.
To Have and Have Not,1944,"Adventure, Comedy, Film-Noir",100 min,7.8,"During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer."
Talvar,2015,"Crime, Drama, Mystery",132 min,8.2,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
My Fair Lady,1964,"Drama, Family, Musical",170 min,7.8,Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.
The Shop Around the Corner,1940,"Comedy, Drama, Romance",99 min,8.1,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal."
Deadpool 2,2018,"Action, Adventure, Comedy",119 min,7.7,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
Veer-Zaara,2004,"Drama, Family, Musical",192 min,7.8,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever."
The Shawshank Redemption,1994,Drama,142 min,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
It Happened One Night,1934,"Comedy, Romance",105 min,8.1,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops."
Jules et Jim,1962,"Drama, Romance",105 min,7.8,Decades of a love triangle concerning two friends and an impulsive woman.
Charade,1963,"Comedy, Mystery, Romance",113 min,7.9,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
The Day the Earth Stood Still,1951,"Drama, Sci-Fi",92 min,7.7,An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.
The Blues Brothers,1980,"Action, Adventure, Comedy",133 min,7.9,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised."
Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi",138 min,7.9,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
Rain Man,1988,Drama,133 min,8.0,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.
Ran,1985,"Action, Drama, War",162 min,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
M - Eine Stadt sucht einen Mörder,1931,"Crime, Mystery, Thriller",117 min,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
Kôkaku Kidôtai,1995,"Animation, Action, Crime",83 min,8.0,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
Sleuth,1972,"Mystery, Thriller",138 min,8.0,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results."
The Ten Commandments,1956,"Adventure, Drama",220 min,7.9,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people."
A Star Is Born,2018,"Drama, Music, Romance",136 min,7.6,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
Incendies,2010,"Drama, Mystery, War",131 min,8.3,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
Boksuneun naui geot,2002,"Crime, Drama, Thriller",129 min,7.6,"A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant."
Yôjinbô,1961,"Action, Drama, Thriller",110 min,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
Fanny och Alexander,1982,Drama,188 min,8.1,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls."
Leviafan,2014,"Crime, Drama",140 min,7.6,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family."
Memento,2000,"Mystery, Thriller",113 min,8.4,A man with short-term memory loss attempts to track down his wife's murderer.
La battaglia di Algeri,1966,"Drama, War",121 min,8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
Green Book,2018,"Biography, Comedy, Drama",130 min,8.2,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.
Ben-Hur,1959,"Adventure, Drama, History",212 min,8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",110 min,8.0,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia."
Baby,2015,"Action, Crime, Thriller",159 min,8.0,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
Warrior,2011,"Action, Drama, Sport",140 min,8.2,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
Il conformista,1970,Drama,113 min,8.0,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
Manchester by the Sea,2016,Drama,137 min,7.8,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
Klaus,2019,"Animation, Adventure, Comedy",96 min,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
Rope,1948,"Crime, Drama, Mystery",80 min,8.0,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
Heat,1995,"Crime, Drama, Thriller",170 min,8.2,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.
The Silence of the Lambs,1991,"Crime, Drama, Thriller",118 min,8.6,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Brokeback Mountain,2005,"Drama, Romance",134 min,7.7,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years."
The Gold Rush,1925,"Adventure, Comedy, Drama",95 min,8.2,A prospector goes to the Klondike in search of gold and finds it and more.
Central do Brasil,1998,Drama,110 min,8.0,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew."
The French Connection,1971,"Action, Crime, Drama",104 min,7.7,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.
Dom za vesanje,1988,"Comedy, Crime, Drama",142 min,8.2,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves."
